pid,product_name,old_price,c_price,base_price,company_id,company_name
96,"Samarthya Bucket Mop Magic (Ss Bowl)",1635,545,550,7,"Samarthya Cleaning "
97,"Samarthya Bucket Mop Magic (Pp Bowl)",1485,495,500,7,"Samarthya Cleaning "
98,"Samarthya Bucket Mop Extreme (Ss Bowl)",1785,595,600,7,"Samarthya Cleaning "
99,"Samarthya Bucket Mop Extreme (Pp Bowl)",1635,545,550,7,"Samarthya Cleaning "
100,"Samarthya Bucket Mop Floor Shine (Ss Bowl)",1950,650,660,7,"Samarthya Cleaning "
101,"Samarthya Bucket Mop Floor Shine (Pp Bowl)",1710,570,580,7,"Samarthya Cleaning "
102,"Samarthya Bucket Mop Delux (Ss Bowl)",2250,750,760,7,"Samarthya Cleaning "
103,"Samarthya Bucket Mop Delux (Pp Bowl)",2100,700,710,7,"Samarthya Cleaning "
104,"Samarthya Bucket Mop Unique (Ss Bowl)",2400,800,810,7,"Samarthya Cleaning "
105,"Samarthya Bucket Mop Unique (Pp Bowl)",2250,750,760,7,"Samarthya Cleaning "
106,"Samarthya Flexibil Colth Drying Rack",4350,1450,1460,7,"Samarthya Cleaning "
107,"Samarthya Eligant Bath Set 3 Pcs",1530,510,520,7,"Samarthya Cleaning "
109,"Samarthya Eligant Bath Set 10 Pcs",3900,1300,1310,7,"Samarthya Cleaning "
110,"Samarthya Eligant Bucket 20Ltr",597,199,205,7,"Samarthya Cleaning "
111,"Samarthya Eligant Dustbin 8 Ltr",597,199,205,7,"Samarthya Cleaning "
119,"Samarthya Liquid Soap Dispenser Printed",195,65,68,7,"Samarthya Cleaning "
120,"Samarthya Soap Dispenser",216,72,75,7,"Samarthya Cleaning "
121,"Samarthya 2 In 1 Liquid Dispenser",216,72,75,7,"Samarthya Cleaning "
122,"Samarthya Multi Utility Round Trolly",240,80,83,7,"Samarthya Cleaning "
123,"Samarthya Shoes Drying Hanger",105,35,38,7,"Samarthya Cleaning "
124,"Samarthya Saucify Bottle 200 Ml",42,14,16,7,"Samarthya Cleaning "
125,"Samarthya Toilet Brush Double Hockey Virgin",144,48,51,7,"Samarthya Cleaning "
126,"Samarthya Carpet Brush Virgin",138,46,49,7,"Samarthya Cleaning "
127,"Samarthya Bhala Jala Broom With Telescope 4.25Ft Ss Stick",360,120,125,7,"Samarthya Cleaning "
128,"Samarthya Jala Broom Gobi With Ss Stick",375,125,130,7,"Samarthya Cleaning "
129,"Samarthya Shiny Sink Brush Virgin",93,31,32,7,"Samarthya Cleaning "
130,"Samarthya King Jala Broom (Bhala) Ms Stick",330,110,115,7,"Samarthya Cleaning "
131,"Samarthya Kitchen Round Sink Brush Virgin",108,36,39,7,"Samarthya Cleaning "
132,"Samarthya Sink Scruber Brush Nylopad Higher Quality Virgin",93,31,32,7,"Samarthya Cleaning "
